#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   437.241302      -15.1918669              97  0.960396051    
   641.287231      -15.1918669             146  0.986486495    
   845.333130      -15.1918669             160  0.975609779    
   1049.37903      -15.1918669             158  0.987500012    
   1253.42493      -15.1918669             173   1.00000000    
   1457.47083      -15.1918669             188  0.994709015    
   1661.51672      -15.1918669             199   1.00000000    
   1865.56262      -15.1918669             163   1.00000000    
   2069.60864      -15.1918669             173  0.950549424    
   2914.94189      -15.1918669             154  0.927710831    
   437.241302      -14.9790335             105  0.963302732    
   641.287231      -14.9790335             145  0.973154366    
   845.333130      -14.9790335             182  0.989130437    
   1049.37903      -14.9790335             167  0.982352912    
   1253.42493      -14.9790335             178  0.994413435    
   1457.47083      -14.9790335             182   1.00000000    
   1661.51672      -14.9790335             175   1.00000000    
   1865.56262      -14.9790335             164   1.00000000    
   2069.60864      -14.9790335             159  0.957831323    
   2914.94189      -14.9790335             200  0.925925910    
   437.241302      -14.7662001             110  0.973451316    
   641.287231      -14.7662001             132  0.985074639    
   845.333130      -14.7662001             170  0.988372087    
   1049.37903      -14.7662001             166  0.994011998    
   1253.42493      -14.7662001             178  0.994413435    
   1457.47083      -14.7662001             193  0.994845390    
   1661.51672      -14.7662001             166  0.994011998    
   1865.56262      -14.7662001             163   1.00000000    
   2069.60864      -14.7662001             183  0.963157892    
   2914.94189      -14.7662001             187  0.949238598    
   437.241302      -14.5533667              84  0.903225780    
   641.287231      -14.5533667             101   1.00000000    
   845.333130      -14.5533667             186  0.984126985    
   1049.37903      -14.5533667             174  0.988636374    
   1253.42493      -14.5533667             182   1.00000000    
   1457.47083      -14.5533667             180   1.00000000    
   1661.51672      -14.5533667             202   1.00000000    
   1865.56262      -14.5533667             165  0.993975878    
   2069.60864      -14.5533667             185  0.984042525    
   2914.94189      -14.5533667             195  0.955882370    
   437.241302      -14.3405333             114  0.957983196    
   641.287231      -14.3405333             114  0.974358976    
   845.333130      -14.3405333             193  0.979695439    
   1049.37903      -14.3405333             190  0.974358976    
   1253.42493      -14.3405333             168  0.976744175    
   1457.47083      -14.3405333             187   1.00000000    
   1661.51672      -14.3405333             212  0.990654230    
   1865.56262      -14.3405333             184  0.989247322    
   2069.60864      -14.3405333             184  0.994594574    
   2914.94189      -14.3405333             228  0.978540778    
   437.241302      -14.1276999             103  0.944954157    
   641.287231      -14.1276999             147  0.967105269    
   845.333130      -14.1276999             144  0.986301363    
   1049.37903      -14.1276999             193  0.974747479    
   1253.42493      -14.1276999             167  0.976608217    
   1457.47083      -14.1276999             181  0.994505465    
   1661.51672      -14.1276999             176   1.00000000    
   1865.56262      -14.1276999             178   1.00000000    
   2069.60864      -14.1276999             202   1.00000000    
   2914.94189      -14.1276999             219   1.00000000    
   437.241302      -13.6425333             259  0.948717952    
   641.287231      -13.6425333             253  0.988281250    
   845.333130      -13.6425333             359  0.994459808    
   1049.37903      -13.6425333             421  0.983644843    
   1253.42493      -13.6425333             405  0.990220070    
   1457.47083      -13.6425333             418  0.997613370    
   1661.51672      -13.6425333             399  0.997500002    
   1865.56262      -13.6425333             382  0.994791687    
   2069.60864      -13.6425333             383  0.997395813    
   2914.94189      -13.6425333             497  0.995992005    
   437.241302      -13.1573668             190  0.926829278    
   641.287231      -13.1573668             226  0.982608676    
   845.333130      -13.1573668             282  0.992957771    
   1049.37903      -13.1573668             353  0.988795519    
   1253.42493      -13.1573668             356  0.988888860    
   1457.47083      -13.1573668             326  0.996941924    
   1661.51672      -13.1573668             317  0.984472036    
   1865.56262      -13.1573668             303  0.993442595    
   2069.60864      -13.1573668             324  0.996923089    
   2914.94189      -13.1573668             354  0.997183084    
   437.241302      -12.6721992             251  0.902877688    
   641.287231      -12.6721992             273  0.961267591    
   845.333130      -12.6721992             385  0.979643762    
   1049.37903      -12.6721992             372  0.973821998    
   1253.42493      -12.6721992             402  0.992592573    
   1457.47083      -12.6721992             453  0.991247237    
   1661.51672      -12.6721992             386  0.989743590    
   1865.56262      -12.6721992             396  0.990000010    
   2069.60864      -12.6721992             362  0.994505465    
   2914.94189      -12.6721992             476  0.991666675    
   437.241302      -12.1870327             224  0.888888896    
   641.287231      -12.1870327             295  0.930599391    
   845.333130      -12.1870327             392  0.963144958    
   1049.37903      -12.1870327             446  0.973799109    
   1253.42493      -12.1870327             411  0.980906904    
   1457.47083      -12.1870327             426  0.990697682    
   1661.51672      -12.1870327             410  0.990338147    
   1865.56262      -12.1870327             413  0.990407646    
   2069.60864      -12.1870327             453  0.993421078    
   2914.94189      -12.1870327             490  0.987903237    
   437.241302      -11.7018661             261  0.850162864    
   641.287231      -11.7018661             310  0.922619045    
   845.333130      -11.7018661             452  0.963752687    
   1049.37903      -11.7018661             440  0.962800860    
   1253.42493      -11.7018661             436  0.979775310    
   1457.47083      -11.7018661             425  0.983796299    
   1661.51672      -11.7018661             443  0.988839269    
   1865.56262      -11.7018661             444  0.991071403    
   2069.60864      -11.7018661             458  0.995652199    
   2914.94189      -11.7018661             542  0.994495392    
   437.241302      -11.2166996             235  0.736677110    
   641.287231      -11.2166996             291  0.898148119    
   845.333130      -11.2166996             446  0.942917526    
   1049.37903      -11.2166996             465  0.968750000    
   1253.42493      -11.2166996             503  0.969171464    
   1457.47083      -11.2166996             471  0.967145801    
   1661.51672      -11.2166996             461  0.968487382    
   1865.56262      -11.2166996             524  0.986817300    
   2069.60864      -11.2166996             510  0.986460328    
   2914.94189      -11.2166996             558  0.984126985    
